ID	Name	Genes	Subsystem
RXN-13616	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
CTECOAI7	3-cis-2-trans-enoyl-CoA isomerase	TD01GL001327	Membrane Lipid Metabolism
RXN-12507	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
R05578	Glutamyl-tRNA synthetase	TD01GL001051	tRNA Charging
THI-P-SYN-RXN	Thiamine-phosphate diphosphorylase	TD01GL000220;TD01GL003798	Cofactor and Prosthetic Group Biosynthesis
HYPOXANPRIBOSYLTRAN-RXN	Hypoxanthine phosphoribosyltransferase (Hypoxanthine)	TD01GL001667;TD01GL001681	Nucleotide Salvage Pathway
GUANPRIBOSYLTRAN-RXN	Guanine phosphoribosyltransferase	TD01GL001667;TD01GL001681	Nucleotide Salvage Pathway
XANPRIBOSYLTRAN-RXN	Xanthine phosphoribosyltransferase	TD01GL001667	Nucleotide Salvage Pathway
DCDPKIN-RXN	Nucleoside-diphosphate kinase (ATP:dCDP)	TD01GL003061;TD01GL000661	Nucleotide Salvage Pathway
DGDPKIN-RXN	Nucleoside-diphosphate kinase (ATP:dGDP)	TD01GL000661;TD01GL003061	Nucleotide Salvage Pathway
RXN-14074	Adentylate kinase (GTP)	TD01GL003061	Nucleotide Salvage Pathway
DEOXYADENYLATE-KINASE-RXN	Deoxyadenylate kinase	TD01GL003061	Nucleotide Salvage Pathway
UDPKIN-RXN	Nucleoside-diphosphate kinase (ATP:UDP)	TD01GL000661;TD01GL003061	Nucleotide Salvage Pathway
ADENYL-KIN-RXN	Adenylate kinase	TD01GL003061	Nucleotide Salvage Pathway
DTDPKIN-RXN	Nucleoside-diphosphate kinase (ATP:dTDP)	TD01GL000661;TD01GL003061	Nucleotide Salvage Pathway
DUDPKIN-RXN	Nucleoside-diphosphate kinase (ATP:dUDP)	TD01GL000661;TD01GL003061	Nucleotide Salvage Pathway
ADENOSINE-KINASE-RXN	Adenosine kinase	TD01GL003061	Nucleotide Salvage Pathway
CDPKIN-RXN	Nucleoside-diphosphate kinase (ATP:CDP)	TD01GL000661;TD01GL003061	Nucleotide Salvage Pathway
DADPKIN-RXN	Nucleoside-diphosphate kinase (ATP:dADP)	TD01GL000661;TD01GL003061	Nucleotide Salvage Pathway
ADK4	Adentylate kinase (ITP)	TD01GL003061	Nucleotide Salvage Pathway
GDPKIN-RXN	Nucleoside-diphosphate kinase (ATP:GDP)	TD01GL000661;TD01GL003061	Nucleotide Salvage Pathway
DIHYDROOROT-RXN	Dihydroorotase	TD01GL000039;TD01GL001902	Purine and Pyrimidine Biosynthesis
OROTPDECARB-RXN	Orotidine-5'-phosphate decarboxylase	TD01GL001254	Purine and Pyrimidine Biosynthesis
CITSYN-RXN	Citrate synthase	TD01GL001053	Citric Acid Cycle
ACETALD-DEHYDROG-RXN	Acetaldehyde dehydrogenase (acetylating)	TD01GL000435	Pyruvate Metabolism
INORGPYROPHOSPHAT-RXN	Inorganic diphosphatase	TD01GL002927;TD01GL002040;TD01GL000541	Anaplerotic Reactions
TRIPHOSPHATASE-RXN	Inorganic triphosphatase	TD01GL000768;TD01GL002927;TD01GL002040;TD01GL000541	Anaplerotic Reactions
RXN-14025_copy1	5'-nucleotidase (UMP)	TD01GL002927	Nucleotide Salvage Pathway
AMP-DEPHOSPHORYLATION-RXN_copy1	5'-nucleotidase (AMP)	TD01GL002927;TD01GL002562	Nucleotide Salvage Pathway
RXN-14026_copy1	5'-nucleotidase (CMP)	TD01GL002927	Nucleotide Salvage Pathway
NTD12	5'-nucleotidase (dIMP)	TD01GL002927;TD01GL002562	Nucleotide Salvage Pathway
RXN-14143_copy1	5'-nucleotidase (dUMP)	TD01GL002927	Nucleotide Salvage Pathway
RXN-7607_copy1	5'-nucleotidase (IMP)	TD01GL002927;TD01GL002562	Nucleotide Salvage Pathway
RXN0-5292_copy1	5'-nucleotidase (dCMP)	TD01GL002927	Nucleotide Salvage Pathway
RXN-14161_copy1	5'-nucleotidase (dAMP)	TD01GL002927	Nucleotide Salvage Pathway
XMPXAN-RXN_copy1	5'-nucleotidase (XMP)	TD01GL002927	Nucleotide Salvage Pathway
RXN-14142_copy1	5'-nucleotidase (dGMP)	TD01GL002927;TD01GL002562	Nucleotide Salvage Pathway
RXN-7609_copy1	5'-nucleotidase (GMP)	TD01GL002927;TD01GL002562	Nucleotide Salvage Pathway
THYMIDYLATE-5-PHOSPHATASE-RXN_copy1	5'-nucleotidase (dTMP)	TD01GL002927	Nucleotide Salvage Pathway
PEPCARBOXYKIN-RXN	Phosphoenolpyruvate carboxykinase	TD01GL002559	Anaplerotic Reactions
1.1.1.39-RXN	Malic enzyme (NAD)	TD01GL003214	Anaplerotic Reactions
ALARACECAT-RXN	Alanine racemase	TD01GL002444;TD01GL002922;TD01GL000406	Alanine and Aspartate Metabolism
ALANINE-AMINOTRANSFERASE-RXN	L-alanine transaminase	TD01GL001127;TD01GL000380	Alanine and Aspartate Metabolism
RXN0-382	1-Deoxy-D-xylulose kinase	TD01GL001034	Cofactor and Prosthetic Group Biosynthesis
XYLULOKIN-RXN	Xylulokinase	TD01GL001034	Alternate Carbon Metabolism
GLYCEROL-KIN-RXN	Glycerol kinase	TD01GL002132	Alternate Carbon Metabolism
D-PPENTOMUT-RXN	Phosphopentomutase 2 (deoxyribose)	TD01GL000924	Alternate Carbon Metabolism
RXN-14456	Phosphopentomutase	TD01GL000924	Alternate Carbon Metabolism
ASPAMINOTRANS-RXN	Aspartate transaminase	TD01GL001646	Alanine and Aspartate Metabolism
CYSTEINE-AMINOTRANSFERASE-RXN	Cysteine transaminase	TD01GL001646	Cysteine Metabolism
PEPDEPHOS-RXN	Pyruvate kinase	TD01GL001411;TD01GL003014	Glycolysis/Gluconeogenesis
R00659	Pyruvate kinase(2)	TD01GL003014	Nucleotide Salvage Pathway
RXN-14117	Pyruvate kinase(3)	TD01GL003014	Nucleotide Salvage Pathway
R00572	Pyruvate kinase(4)	TD01GL003014	Nucleotide Salvage Pathway
PYK6	RE2954	TD01GL003014	Nucleotide Salvage Pathway
DARAB5PISOM-RXN	Arabinose-5-phosphate isomerase	TD01GL002337	Alternate Carbon Metabolism
3-ISOPROPYLMALISOM-RXN	2-isopropylmalate hydratase	TD01GL001628;TD01GL001627	Valine, Leucine, and Isoleucine Metabolism
RXN-8991	3-isopropylmalate dehydratase	TD01GL001628;TD01GL001627	Valine, Leucine, and Isoleucine Metabolism
ACETOLACTSYN-RXN	Acetolactate synthase	TD01GL003203;TD01GL003202	Valine, Leucine, and Isoleucine Metabolism
ACETOOHBUTSYN-RXN	2-aceto-2-hydroxybutanoate synthase	TD01GL003203;TD01GL003202	Valine, Leucine, and Isoleucine Metabolism
2.5.1.19-RXN	3-phosphoshikimate 1-carboxyvinyltransferase	TD01GL002004	Tyrosine, Tryptophan, and Phenylalanine Metabolism
ANTHRANSYN-RXN	Anthranilate synthase	TD01GL002214;TD01GL001227	Tyrosine, Tryptophan, and Phenylalanine Metabolism
PRTRANS-RXN	Anthranilate phosphoribosyltransferase	TD01GL001227	Tyrosine, Tryptophan, and Phenylalanine Metabolism
CHORISMATEMUT-RXN	Chorismate mutase	TD01GL002005	Tyrosine, Tryptophan, and Phenylalanine Metabolism
PREPHENATEDEHYDRAT-RXN	Prephenate dehydratase	TD01GL002005	Tyrosine, Tryptophan, and Phenylalanine Metabolism
CHORISMATE-SYNTHASE-RXN	Chorismate synthase	TD01GL001167	Tyrosine, Tryptophan, and Phenylalanine Metabolism
PRAISOM-RXN	Phosphoribosylanthranilate isomerase (irreversible)	TD01GL001228;TD01GL001633	Tyrosine, Tryptophan, and Phenylalanine Metabolism
IGPSYN-RXN	Indole-3-glycerol-phosphate synthase	TD01GL001228	Tyrosine, Tryptophan, and Phenylalanine Metabolism
2PGADEHYDRAT-RXN	Enolase	TD01GL000733	Glycolysis/Gluconeogenesis
METHGLYSYN-RXN	Methylglyoxal synthase	TD01GL001410	Methylglyoxal Metabolism
PEPSYNTH-RXN	Phosphoenolpyruvate synthase	TD01GL001683	Glycolysis/Gluconeogenesis
PGLUCISOM-RXN	Glucose-6-phosphate isomerase	TD01GL002404;TD01GL001404	Glycolysis/Gluconeogenesis
PHOSGLYPHOS-RXN	Phosphoglycerate kinase	TD01GL000049	Glycolysis/Gluconeogenesis
KDPGALDOL-RXN	2-dehydro-3-deoxy-phosphogluconate aldolase	TD01GL001439	Pentose Phosphate Pathway
OXALODECARB-RXN	Oxaloacetate decarboxylase	TD01GL001439	Pyruvate Metabolism
RIBULP3EPIM-RXN	Ribulose 5-phosphate 3-epimerase	TD01GL001222	Pentose Phosphate Pathway
TRANSALDOL-RXN	Transaldolase	TD01GL001283	Pentose Phosphate Pathway
2TRANSKETO-RXN	Transketolase	TD01GL000053	Pentose Phosphate Pathway
TKT1	Transketolase	TD01GL000053	Pentose Phosphate Pathway
ALCOHOL-DEHYDROG-RXN	Alcohol dehydrogenase (ethanol)	TD01GL002994	Pyruvate Metabolism
R01036	Alcohol dehydrogenase (glycerol)	TD01GL002994	Alternate Carbon Metabolism
RXN0-3962	Aldehyde dehydrogenase (acetaldehyde, NADP)	TD01GL002995;TD01GL000777	Alternate Carbon Metabolism
ALDD3y	Aldehyde dehydrogenase (propanal, NADP)	TD01GL002995	Alternate Carbon Metabolism
NADPYROPHOSPHAT-RXN	NAD diphosphatase	TD01GL000760;TD01GL001773	Cofactor and Prosthetic Group Biosynthesis
2.7.7.1-RXN	Nicotinamide-nucleotide adenylyltransferase	TD01GL001560;TD01GL001887	Cofactor and Prosthetic Group Biosynthesis
NICONUCADENYLYLTRAN-RXN	Nicotinate-nucleotide adenylyltransferase	TD01GL001560	Nucleotide Salvage Pathway
PYRIMSYN3-RXN	Phosphomethylpyrimidine kinase	TD01GL000948;TD01GL000220;TD01GL003691;TD01GL003798	Cofactor and Prosthetic Group Biosynthesis
OHMETPYRKIN-RXN	Hydroxymethylpyrimidine kinase (ATP)	TD01GL000948;TD01GL000220;TD01GL003691;TD01GL003798	Cofactor and Prosthetic Group Biosynthesis
RXN0-5199	Purine-nucleoside phosphorylase (Guanosine)	TD01GL000923	Nucleotide Salvage Pathway
DEOXYADENPHOSPHOR-RXN	Purine-nucleoside phosphorylase (Deoxyadenosine)	TD01GL000923	Nucleotide Salvage Pathway
DEOXYINOPHOSPHOR-RXN	Purine-nucleoside phosphorylase (Deoxyinosine)	TD01GL000923	Nucleotide Salvage Pathway
ADENPHOSPHOR-RXN	Purine-nucleoside phosphorylase (Adenosine)	TD01GL000923	Nucleotide Salvage Pathway
INOPHOSPHOR-RXN	Purine-nucleoside phosphorylase (Inosine)	TD01GL000923	Nucleotide Salvage Pathway
DEOXYGUANPHOSPHOR-RXN	Purine-nucleoside phosphorylase (Deoxyguanosine)	TD01GL000923	Nucleotide Salvage Pathway
RXN0-3543	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	TD01GL001105	Cofactor and Prosthetic Group Biosynthesis
GUANOSINE-DIPHOSPHATASE-RXN	Nucleoside diphosphatase  GDP 	TD01GL001105	Nucleotide Salvage Pathway
RXN0-3542	Thiamin pyrophosphatase	TD01GL001105	Cofactor and Prosthetic Group Biosynthesis
OROPRIBTRANS-RXN	Orotate phosphoribosyltransferase	TD01GL003764	Purine and Pyrimidine Biosynthesis
R04457	Riboflavin synthase	TD01GL002572	Cofactor and Prosthetic Group Biosynthesis
DIHYDROXYMETVALDEHYDRAT-RXN	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	TD01GL002693;TD01GL002565	Valine, Leucine, and Isoleucine Metabolism
DIHYDROXYISOVALDEHYDRAT-RXN	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	TD01GL002693;TD01GL002565	Valine, Leucine, and Isoleucine Metabolism
FRD3	Fumarate reductase	TD01GL002097;TD01GL002096;TD01GL002095;TD01GL002094	Citric Acid Cycle
FRD2	Fumarate reductase	TD01GL002097;TD01GL002096;TD01GL002095;TD01GL002094	Citric Acid Cycle
PTAALT-RXN	Phosphate acetyltransferase	TD01GL000936	Alternate Carbon Metabolism
PHOSACETYLTRANS-RXN	Phosphotransacetylase	TD01GL000936	Pyruvate Metabolism
ACETATEKIN-RXN	Acetate kinase	TD01GL000937;TD01GL002065	Pyruvate Metabolism
KDOTRANS-RXN	3-deoxy-D-manno-octulosonic acid transferase	TD01GL000019	Lipopolysaccharide Biosynthesis / Recycling
KDOTRANS2-RXN	3-deoxy-D-manno-octulosonic acid transferase	TD01GL000019	Lipopolysaccharide Biosynthesis / Recycling
RXN-9138	Undecaprenyl diphosphate synthase	TD01GL000527	Cofactor and Prosthetic Group Biosynthesis
LIPIDXSYNTHESIS-RXN	UDP-sugar hydrolase	TD01GL001742	Lipopolysaccharide Biosynthesis / Recycling
LIPIDADISACCHARIDESYNTH-RXN	Lipid A disaccaride synthase	TD01GL000536	Lipopolysaccharide Biosynthesis / Recycling
TETRAACYLDISACC4KIN-RXN	Tetraacyldisaccharide 4'kinase	TD01GL002282	Lipopolysaccharide Biosynthesis / Recycling
RXN0-5107	Nucleoside triphosphate pyrophosphorylase (dttp)	TD01GL002219;TD01GL002352	Nucleotide Salvage Pathway
RXN0-383	Nucleoside triphosphate pyrophosphorylase (ctp)	TD01GL002219	Nucleotide Salvage Pathway
DCTP-PYROPHOSPHATASE-RXN	Nucleoside triphosphate pyrophosphorylase (dctp)	TD01GL002219	Nucleotide Salvage Pathway
RXN-14140	Nucleoside triphosphate pyrophosphorylase (gtp)	TD01GL002219	Nucleotide Salvage Pathway
ATP-PYROPHOSPHATASE-RXN	Nucleoside triphosphate pyrophosphorylase (atp)	TD01GL002983;TD01GL002219	Nucleotide Salvage Pathway
RXN0-384	Nucleoside triphosphate pyrophosphorylase (datp)	TD01GL002219	Nucleotide Salvage Pathway
RXN0-385	Nucleoside triphosphate pyrophosphorylase (dgtp)	TD01GL002219	Nucleotide Salvage Pathway
RXN-14139	Nucleoside triphosphate pyrophosphorylase (utp)	TD01GL002219;TD01GL002352	Nucleotide Salvage Pathway
NTPTP2	Nucleoside triphosphate tripolyhydrolase	TD01GL000042	Nucleotide Salvage Pathway
DGTPTRIPHYDRO-RXN	Nucleoside triphosphate tripolyhydrolase	TD01GL000042	Nucleotide Salvage Pathway
3-ISOPROPYLMALDEHYDROG-RXN	3-isopropylmalate dehydrogenase	TD01GL002676;TD01GL001629	Valine, Leucine, and Isoleucine Metabolism
1.1.1.83-RXN	Malate decarboxylating oxidoreductase (decarboxylating)	TD01GL002676	Alternate Carbon Metabolism
RXN0-743	Phosphoribosylaminoimidazole carboxylase (mutase rxn)	TD01GL002690	Purine and Pyrimidine Biosynthesis
AICARSYN-RXN	Adenylosuccinate lyase	TD01GL001102	Purine and Pyrimidine Biosynthesis
AMPSYN-RXN	Adenylsuccinate lyase	TD01GL001102	Purine and Pyrimidine Biosynthesis
THIOREDOXIN-REDUCT-NADPH-RXN	Thioredoxin reductase (NADPH)	TD01GL003212;TD01GL001243	Oxidative Phosphorylation
GDPREDUCT-RXN	Ribonucleoside-diphosphate reductase (GDP)	TD01GL002250;TD01GL001243;TD01GL002249	Nucleotide Salvage Pathway
CDPREDUCT-RXN	Ribonucleoside-diphosphate reductase (CDP)	TD01GL002250;TD01GL001243;TD01GL002249	Nucleotide Salvage Pathway
UDPREDUCT-RXN	Ribonucleoside-diphosphate reductase (UDP)	TD01GL002250;TD01GL001243;TD01GL002249	Nucleotide Salvage Pathway
DSBDR	DsbD reductase	TD01GL002041;TD01GL001243	Unassigned
1.8.4.8-RXN	Phosphoadenylyl-sulfate reductase (thioredoxin)	TD01GL001243;TD01GL001245	Cysteine Metabolism
ADPREDUCT-RXN	Ribonucleoside-diphosphate reductase (ADP)	TD01GL002250;TD01GL001243;TD01GL002249	Nucleotide Salvage Pathway
1.8.4.14-RXN_copy1	L-methionine-R-sulfoxide reductase	TD01GL001243;TD01GL001130;TD01GL001660	Methionine Metabolism
1.8.4.14-RXN_copy2	L-methionine-S-oxide reductase	TD01GL001864;TD01GL001243	Methionine Metabolism
RXN0-267	Hydrogen peroxide reductase (thioredoxin)	TD01GL002792;TD01GL003088;TD01GL001243	Unassigned
R02101	Thymidylate synthase	TD01GL002540	Nucleotide Salvage Pathway
P-PANTOCYSDECARB-RXN	Phosphopantothenoylcysteine decarboxylase	TD01GL000506	Cofactor and Prosthetic Group Biosynthesis
P-PANTOCYSLIG-RXN	Phosphopantothenate-cysteine ligase	TD01GL000506	Cofactor and Prosthetic Group Biosynthesis
R00944	Formyltetrahydrofolate deformylase	TD01GL001675	Folate Metabolism
PGLUCONDEHYDRAT-RXN	6-phosphogluconate dehydratase	TD01GL001444	Pentose Phosphate Pathway
LYSINE-23-AMINOMUTASE-RXN	Lysine 2,3-aminomutase	TD01GL002389	Threonine and Lysine Metabolism
NADH5	NADH dehydrogenase (ubiquinone-8 )	TD01GL001297;TD01GL002677;TD01GL001223	Oxidative Phosphorylation
NADH10	NADH dehydrogenase (menaquinone-8 & 0 protons)	TD01GL001297;TD01GL002677;TD01GL001223	Oxidative Phosphorylation
NADH9	NADH dehydrogenase (demethylmenaquinone-8 & 0 protons)	TD01GL001297;TD01GL002677;TD01GL001223	Oxidative Phosphorylation
MALATE-DEH-RXN	Malate dehydrogenase	TD01GL002551	Citric Acid Cycle
FUMHYDR-RXN	Fumarase	TD01GL001890;TD01GL001658	Citric Acid Cycle
D--TARTRATE-DEHYDRATASE-RXN	D(-)-tartrate dehydratase	TD01GL001890	Alternate Carbon Metabolism
PMPOXI-RXN	Pyridoxamine 5'-phosphate oxidase	TD01GL001830	Cofactor and Prosthetic Group Biosynthesis
PNPOXI-RXN	Pyridoxine 5'-phosphate oxidase	TD01GL001830	Cofactor and Prosthetic Group Biosynthesis
PSERTRANSAMPYR-RXN	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	TD01GL002006	Cofactor and Prosthetic Group Biosynthesis
PSERTRANSAM-RXN	Phosphoserine transaminase	TD01GL002006	Glycine and Serine Metabolism
SUCCINYLDIAMINOPIMTRANS-RXN	Succinyldiaminopimelate transaminase	TD01GL000520;TD01GL002787;TD01GL003369;TD01GL002006	Threonine and Lysine Metabolism
R04109	Glutamyl-tRNA reductase	TD01GL001188	Cofactor and Prosthetic Group Biosynthesis
R07411	Heme O synthase	TD01GL000934	Cofactor and Prosthetic Group Biosynthesis
SAMDECARB-RXN	Adenosylmethionine decarboxylase	TD01GL002920	Arginine and Proline Metabolism
AGMATIN-RXN	Agmatinase	TD01GL003466	Arginine and Proline Metabolism
ARGDECARBOX-RXN_copy1	Arginine decarboxylase	TD01GL002969	Arginine and Proline Metabolism
ARGSUCCINSYN-RXN	Argininosuccinate synthase	TD01GL002036	Arginine and Proline Metabolism
N-ACETYLGLUTPREDUCT-RXN	N-acetyl-g-glutamyl-phosphate reductase	TD01GL003795	Arginine and Proline Metabolism
SPERMIDINESYN-RXN	Spermidine synthase	TD01GL003638	Arginine and Proline Metabolism
RXN0-5217	Aminopropylcadaverine synthase	TD01GL003638	Arginine and Proline Metabolism
GSAAMINOTRANS-RXN	Glutamate-1-semialdehyde aminotransferase	TD01GL003799	Cofactor and Prosthetic Group Biosynthesis
CPM-KDOSYNTH-RXN	3-deoxy-manno-octulosonate cytidylyltransferase	TD01GL002280	Lipopolysaccharide Biosynthesis / Recycling
