,dna,rna,protein
TD01GL000078,2327.2300469483507,2170.1095461658824,312.48043818466374
TD01GL000079,2219.2097026604006,2060.2895148669754,301.36932707355305
TD01GL000080,3777.7386541471014,3509.115805946815,470.3834115805955
TD01GL000081,6870.031298904605,6371.90923317696,846.713615023473
TD01GL000082,4091.7449139280125,3818.348982785626,512.2065727699544
TD01GL000083,4227.190923317686,3922.574334898305,548.0046948356817
TD01GL000084,3733.5680751173704,3441.4710485133205,501.72143974960943
TD01GL000085,6207.942097026655,5749.413145539999,807.5117370892019
TD01GL000086,5719.913928012558,5318.740219092406,749.6087636932712
TD01GL000087,8972.104851330241,8319.835680751365,1124.4522691705768
TD01GL000088,6788.223787167527,6281.729264475854,862.9499217527388
TD01GL0RAST3,751.1737089201889,688.8888888888919,118.38810641627542
TD01GL000089,4278.794992175288,3908.685446009411,647.6525821596249
TD01GL000090,1453.2081377151794,1330.5946791862298,231.6901408450709
TD01GL000091,4145.970266040697,3778.5993740219283,665.8059467918627
TD01GL000092,2424.64788732394,2264.2410015649425,316.86228482003173
TD01GL000093,2808.0985915492934,2620.0704225352174,364.90610328638536
TD01GL000094,5696.478873239481,5269.796557120576,823.7089201877933
TD01GL000095,2584.272300469482,2383.489827856026,356.5336463223789
TD01GL000099,3461.971830985913,3241.001564945242,429.733959311425
TD01GL000096,909.389671361504,843.4272300469503,95.22691705790305
TD01GL000097,839.945226917059,773.8262910798139,92.13615023474186
TD01GL000098,7992.918622848298,7404.968701095618,874.6478873239414
TD01GL000100,2435.2895148669727,2280.9859154929572,341.19718309859195
TD01GL000101,7479.420970266122,6947.73082942111,1006.4162754303591
TD01GL000102,4130.203442879502,3874.7261345853112,553.3646322378719
TD01GL000103,5441.353677621321,5061.854460093962,741.7840375586857
TD01GL000104,9519.014084507002,8855.47730829443,1271.674491392802
TD01GL000105,1772.9655712050062,1644.4835680751166,232.629107981221
TD01GL000106,2009.898278560246,1875.3912363067268,266.07981220657297
TD01GL000107,1340.8841940532088,1239.8669796557153,197.18309859154942
TD01GL000108,9138.028169014095,8458.21596244151,1279.0297339593114
TD01GL000109,2248.8654147104808,2083.920187793423,293.0359937402192
TD01GL000110,2208.5680751173663,2055.2034428794946,301.60406885759033
TD01GL000111,6627.386541471124,6149.061032863951,890.4538341158053
TD01GL000112,1611.971830985915,1492.2535211267605,226.68231611893603
TD01GL000113,1803.3646322378681,1668.8575899843497,248.82629107981225
TD01GL000114,2846.4397496087636,2626.9561815336515,429.53834115805995
TD01GL000115,4713.810641627559,4353.87323943666,691.0406885759003
TD01GL000116,4963.4194053208375,4613.810641627588,694.405320813771
TD01GL000117,11330.242566509953,10520.383411580868,1515.1017214397507
TD01GL000118,2711.5805946791847,2499.921752738658,364.6322378716751
TD01GL000119,7155.985915493042,6654.499217527515,932.5117370892021
TD01GL000120,11685.602503912116,10879.186228482298,1551.9170579029756
TD01GL000121,4723.200312989064,4363.810641627581,700.8215962441313
TD01GL000122,5726.799687011009,5311.384976525889,777.3474178403756
TD01GL000123,9245.226917057915,8596.165884194263,1197.4569640062596
TD01GL000124,2115.375586854452,1966.862284820027,299.2957746478877
TD01GL000125,3771.361502347413,3510.876369327096,519.9530516431934
TD01GL000126,6310.602503912421,5861.4632237872665,887.44131455399
TD01GL000127,11269.17057902953,10433.255086072262,1594.4835680751216
TD01GL000128,11967.566510171871,11100.352112676357,1649.2175273865441
TD01GL000129,3117.2535211267577,2906.6118935837344,432.08137715179987
TD01GL000130,2674.2566510172105,2481.8466353677645,387.05007824726187
TD01GL000131,3794.444444444442,3530.9859154929773,526.6431924882634
TD01GL000132,4421.165884194066,4064.593114241028,660.5633802816901
TD01GL000133,3621.478873239435,3364.749608763709,478.6776212832556
TD01GL000134,11002.386541470865,10208.09859154956,1573.5524256651026
TD01GL000135,2993.6228482003107,2773.513302034437,430.9467918622856
TD01GL000136,11485.446009389443,10666.90140845099,1655.0860719874827
TD01GL000137,4356.416275430366,4052.112676056367,613.8888888888889
TD01GL000138,761.7762128325526,712.2456964006282,91.78403755868558
TD01GL000139,3995.852895148675,3695.774647887345,592.9186228482
TD01GL000141,15332.629107980614,14237.636932707788,2160.6025039123683
TD01GL000140,15332.629107980614,14237.636932707788,2160.6025039123683
TD01GL000142,7737.597809076785,7106.7683881065495,1151.2519561815336
TD01GL000143,3465.0234741784043,3246.087636932719,452.5430359937415
TD01GL000144,2077.3474178403703,1929.7730829420957,256.572769953052
TD01GL000145,4822.378716744944,4459.154929577507,664.5148669796556
TD01GL000146,4012.167449139279,3691.7449139280343,604.3818466353679
TD01GL000147,6572.926447574396,6097.496087637036,866.2754303599366
TD01GL000148,2774.33489827856,2570.5007824726154,407.58998435054815
TD01GL000149,9954.694835680672,9198.982785602722,1439.3974960876385
TD01GL000150,2799.608763693272,2564.7887323943664,433.60719874804425
TD01GL000151,6835.719874804453,6326.877934272412,1023.7089201877925
TD01GL000152,4108.607198748048,3805.790297339614,650.5086071987485
TD01GL000153,7291.510172144054,6756.846635367894,1058.2550860719857
TD01GL000154,4239.397496087651,3919.6009389671563,609.6635367762135
TD01GL000155,2355.0860719874768,2176.1345852895142,370.6572769953057
TD01GL000156,7592.410015649535,7044.757433489971,1123.5915492957736
TD01GL000157,4995.7355242566755,4639.6322378717205,718.0359937402189
TD01GL000158,5729.420970266085,5331.846635367837,781.7683881064153
TD01GL000159,4881.572769953069,4522.574334898325,683.9984350547733
TD01GL000160,15821.752738653491,14720.892018779803,2231.1032863849787
TD01GL000161,4459.037558685458,4132.120500782498,654.8122065727698
TD01GL000162,1259.467918622848,1167.9186228482022,179.30359937402216
TD01GL000163,8129.26447574345,7494.835680751326,1183.8810641627533
TD01GL000164,6526.4866979656435,6057.550860719977,798.3176838810632
TD01GL000165,7143.701095461738,6574.061032863964,1051.6040688575893
TD01GL000166,5409.272300469517,4961.071987480492,809.2331768388098
TD01GL000167,3928.3646322378727,3640.3364632238067,540.1799687010961
TD01GL000168,4160.876369327073,3860.172143974986,585.6807511737095
TD01GL000169,7759.037558685536,7101.838810641761,1161.9718309859156
TD01GL000170,9850.665101721375,9142.60563380304,1378.9123630672934
TD01GL000171,5338.693270735561,4934.4679186229105,721.9092331768387
TD01GL000172,4565.571205007837,4217.449139280161,616.7840375586856
TD01GL000173,2082.550860719869,1915.6494522691664,291.58841940532113
TD01GL000174,2901.212832550857,2679.303599374028,435.054773082943
TD01GL000175,2324.999999999994,2167.8794992175244,306.96400625978146
TD01GL000176,3749.100156494524,3462.636932707372,492.64475743349084
TD01GL000177,3720.383411580593,3452.6995305164482,512.4413145539911
TD01GL000178,2016.901408450697,1890.5320813771484,245.3834115805951
TD01GL000179,608.1377151799693,553.6776212832563,93.85758998435062
TD01GL000180,22007.707355242783,20410.44600939001,3114.9061032863947
TD01GL000181,22757.47261345879,21080.633802817185,3196.9092331768525
TD01GL000182,2015.8450704225306,1869.679186228479,281.3771517996872
TD01GL000183,2547.2613458528904,2373.8654147104858,372.4569640062605
TD01GL000184,729.9687010954627,669.1705790297364,100.82159624413163
TD01GL000185,11502.582159624191,10650.391236307007,1600.234741784038
TD01GL000186,6436.776212832608,5974.256651017315,895.109546165883
TD01GL000187,1679.7339593114216,1562.7543035993738,241.1580594679188
TD01GL000188,708.3333333333343,657.159624413147,98.2785602503913
TD01GL000189,3446.5962441314555,3197.0657276995435,452.07355242566604
TD01GL000190,3268.4663536776193,3038.341158059478,446.9874804381852
TD01GL000191,1606.5336463223766,1500.039123630673,219.9139280125197
TD01GL000192,4472.30046948358,4169.327073552457,613.2237871674492
TD01GL0RAST4,1490.5320813771498,1387.3239436619724,221.5179968701099
TD01GL000193,1792.2535211267555,1678.0907668231596,242.136150234742
TD01GL000194,3783.4115805946785,3523.0046948357012,535.28951486698
TD01GL0RAST5,2235.5633802816856,2084.3114241001526,339.55399061032927
TD01GL000195,1562.7151799686999,1441.9014084507044,221.2441314553993
TD01GL000196,1035.0156494522719,972.4178403755906,148.9436619718312
TD01GL000197,1412.2848200312985,1323.6306729264497,201.95618153364651
TD01GL000198,2012.5586854460053,1869.9139280125162,278.6776212832553
TD01GL000199,1702.1126760563343,1594.8356807511732,232.6682316118939
TD01GL000200,2916.236306729262,2713.732394366204,425.93896713615084
TD01GL000201,1649.5305164319227,1543.6619718309857,242.2143974960878
TD01GL000202,2118.0751173708873,1970.1095461658801,296.4397496087641
TD01GL000203,2858.3724569640012,2674.569640062604,387.6760563380287
TD01GL000204,1886.6197183098543,1759.4679186228454,251.56494522691725
TD01GL000205,2705.6338028168984,2513.302034428797,354.30359937402255
TD01GL000206,985.9546165884217,919.6791862284848,141.11893583724589
TD01GL000207,2347.730829420965,2190.1408450704207,300.19561815336493
TD01GL000208,7180.046948356877,6604.381846635488,1071.2441314553987
TD01GL000209,1918.8967136150188,1776.5649452269145,270.93114241001575
TD01GL000210,2075.8998435054696,1937.0109546165838,269.209702660407
TD01GL000211,3344.8356807511727,3109.311424100169,481.5727699530522
TD01GL000212,5371.791862284856,4989.084507042314,724.8826291079803
TD01GL000213,2083.724569640057,1935.6807511737054,302.5821596244135
TD01GL000214,7562.636932707438,6983.294209702804,1020.7355242566503
TD01GL000215,4730.9467918623095,4329.381846635405,744.7574334898272
TD01GL000216,7399.608763693357,6853.442879499351,1071.361502347417
TD01GL000217,3962.519561815338,3677.1517996870302,574.5696400625984
TD01GL000218,2189.8669796557087,2014.123630672922,309.89827856025045
TD01GL000219,4954.890453834138,4596.126760563421,695.305164319249
TD01GL000220,3306.142410015649,3073.5915492957843,426.60406885759045
TD01GL000221,4342.449139280131,4030.55555555558,567.0187793427234
TD01GL000222,1862.0109546165843,1717.4882629107965,256.2206572769956
TD01GL000223,2013.6932707355186,1869.5618153364599,287.40219092331773
TD01GL000224,2889.788732394361,2680.086071987488,426.72143974960966
TD01GL000225,1972.417840375581,1833.763693270732,282.98122065727716
TD01GL000226,3732.003129890455,3464.8669796557288,531.4553990610336
TD01GL000227,5699.295774647923,5295.539906103361,746.0876369327075
TD01GL000228,4819.209702660427,4412.2456964006615,686.6197183098587
TD01GL000229,4557.159624413154,4210.602503912394,626.1737089201878
TD01GL000230,3676.5649452269186,3406.220657277008,489.2410015649455
TD01GL000231,1062.8325508607218,985.0547730829453,158.2550860719876
TD01GL000232,1693.4272300469436,1592.2535211267593,243.9749608763696
TD01GL000233,685.0156494522699,630.7120500782488,91.19718309859161
TD01GL000234,5025.978090766842,4659.780907668281,735.054773082942
TD01GL000235,5570.970266040733,5051.330203442939,958.1377151799682
TD01GL000236,3343.8575899843513,3090.5712050078346,495.6181533646328
TD01GL000237,7581.885758998518,7035.1721439751045,1091.510172143974
TD01GL000238,2848.7089201877907,2637.9107981220695,390.8450704225356
TD01GL000239,5717.175273865451,5295.109546165953,793.0751173708911
TD01GL000240,7729.655712050169,7162.910798122211,1075.4303599374
TD01GL000241,4543.114241001576,4206.259780907697,660.0547730829413
TD01GL000242,961.46322378717,900.1956181533686,132.6291079812208
TD01GL000243,2779.4209702660396,2572.535211267608,395.46165884194085
TD01GL000244,733.9201877934286,679.2253521126784,96.90923317683901
TD01GL000245,721.1267605633813,654.6948356807533,121.9092331768393
TD01GL000246,829.3818466353691,751.5258215962466,128.99061032863864
TD01GL000247,12281.494522691397,11338.1455399064,1686.8544600938967
TD01GL000248,2906.885758998436,2673.865414710489,465.45383411580684
TD01GL000249,6477.934272300518,6014.553990610432,914.0453834115796
TD01GL000250,619.6009389671367,553.9514866979674,98.59154929577471
TD01GL000251,692.09702660407,628.638497652585,110.40688575899851
TD01GL000252,5436.032863849804,4999.491392801308,733.528951486698
TD01GL000253,757.7073552425684,718.3489827856059,102.8560250391237
TD01GL000254,9281.846635367758,8602.89514867,1227.1909233176832
TD01GL000255,1996.8309859154901,1843.4663536776188,294.3270735524261
TD01GL000256,2030.4381846635295,1904.1471048513265,278.9514866979659
TD01GL000257,4538.028169014098,4223.552425665131,655.7511737089206
TD01GL000258,6755.555555555615,6296.40062597821,973.6306729264467
TD01GL000259,5659.976525821624,5281.57276995313,810.602503912362
TD01GL000260,4536.932707355261,4166.979655712075,735.4068857589988
TD01GL000261,4747.6134585289765,4357.863849765288,740.962441314554
TD01GL000262,7594.170579029818,7045.970266040835,1065.4538341158047
TD01GL000263,6320.500782472678,5865.805946791958,870.3051643192475
TD01GL000264,1688.302034428792,1581.4945226917057,247.22222222222243
TD01GL000265,2558.528951486692,2376.5258215962463,369.0923317683886
TD01GL000266,1558.9984350547702,1457.5117370892024,227.5821596244133
TD01GL000267,2125.938967136148,1923.5133020344254,331.1424100156496
TD01GL000268,2716.510172143975,2470.7355242566555,437.63693270735587
TD01GL000269,3239.3192488262926,2962.79342723006,516.5101721439756
TD01GL000270,3163.2237871674483,2899.217527386553,503.2081377151808
TD01GL000271,4603.1298904538535,4276.525821596279,679.1471048513301
TD01GL000272,2608.7636932707287,2429.9687010954635,319.7183098591552
TD01GL000273,2179.773082942092,2023.8262910798087,304.3427230046952
TD01GL000274,7952.347417840471,7326.21283255101,1165.9624413145534
TD01GL000275,6363.96713615028,5964.436619718414,823.6306729264473
TD01GL000276,6859.585289514904,6410.446009389802,982.2378716744895
TD01GL000277,3506.0641627543005,3275.547730829435,487.7934272300479
TD01GL000278,3765.219092331772,3495.6572769953186,510.71987480438247
TD01GL000279,7328.169014084568,6810.954616588561,1031.8075117370881
TD01GL000280,4912.050078247282,4541.392801252002,682.1596244131454
TD01GL000281,1938.8106416275384,1800.078247261343,267.4100156494523
TD01GL000282,9370.892018779312,8691.23630672947,1360.8372456964003
TD01GL000283,12457.62910798088,11558.64632237903,1776.877934272302
TD01GL000284,1003.0907668231623,906.8466353677642,161.737089201878
TD01GL000285,3095.1095461658856,2853.8732394366275,472.6134585289518
TD01GL000286,7210.211267605708,6719.053208137849,1064.006259780906
TD01GL000287,5431.416275430399,5010.13302034435,772.6525821596235
TD01GL000288,5362.323943662004,4950.039123630737,809.9765258215957
TD01GL000289,5717.996870109593,5270.97026604076,807.7856025039114
TD01GL000290,3726.877934272301,3427.112676056357,532.902973395932
TD01GL000291,2412.6760563380253,2215.5712050078228,336.5023474178408
TD01GL000292,3311.8544600938944,3065.5320813771655,474.25665101721495
TD01GL000293,1507.7856025039105,1416.3145539906109,220.22691705790308
TD01GL000294,4436.1502347417945,4109.6244131455705,667.4491392801258
TD01GL000295,4868.8967136150495,4489.55399061037,682.7464788732389
TD01GL000296,5383.255086072016,5031.690140845137,738.5758998435055
TD01GL0RAST6,1186.6197183098595,1103.051643192491,183.45070422535213
TD01GL000297,606.1424100156501,557.7856025039134,79.10798122065731
TD01GL000298,606.1424100156501,557.7856025039134,79.10798122065731
TD01GL000299,1389.0845070422533,1288.693270735525,182.31611893583738
TD01GL000300,6446.59624413152,6007.472613458632,877.0344287949915
TD01GL000301,6256.885758998491,5825.978090766916,809.3896713615021
TD01GL000302,5356.572769953079,4991.7057902974,803.8341158059458
TD01GL000303,2585.09389671361,2405.672926447576,352.0344287949928
TD01GL000304,2136.893583724566,1975.704225352108,318.2316118935841
TD01GL000305,3638.302034428795,3382.120500782488,512.0109546165891
TD01GL000306,7362.754303599458,6828.716744914063,1030.242566510171
TD01GL000307,10466.079812206443,9707.159624413394,1563.8888888888894
TD01GL000308,9554.107981220626,8809.663536776412,1374.2175273865405
TD01GL000309,5200.312989045414,4805.007824726188,701.2910798122069
TD01GL000310,4761.658841940559,4420.187793427274,658.2550860719862
TD01GL000311,4466.236306729279,4113.888888888913,651.4475743348984
TD01GL000312,4395.931142410026,4040.3755868544827,660.2112676056341
TD01GL000313,3435.6807511737084,3184.5852895148805,498.6306729264484
TD01GL000314,2583.2550860719857,2383.020344287949,356.96400625978146
TD01GL000315,3341.2754303599327,3129.1471048513445,412.2456964006267
TD01GL000316,1232.3943661971837,1136.6979655712066,182.78560250391246
TD01GL000317,2079.1471048513263,1920.3834115805932,295.93114241001575
TD01GL000318,3128.09076682316,2870.657276995313,481.3771517996876
TD01GL000319,3635.2895148669813,3351.0954616588588,541.2754303599378
TD01GL000320,14124.139280124706,12985.250391236648,2030.8685446009451
TD01GL000321,7978.794992175371,7305.868544601083,1240.8059467918615
TD01GL000322,5269.835680751203,4896.048513302095,721.12676056338
TD01GL000323,9748.278560250326,8945.305164319454,1363.3020344287959
TD01GL000324,3189.3974960876353,2960.133020344297,454.2253521126767
TD01GL000325,5163.8497652582455,4744.522691705838,712.4804381846636
TD01GL000326,5211.111111111139,4814.319248826346,757.8638497652578
TD01GL000327,762.4021909233192,709.8200312989072,108.95931142410028
TD01GL000328,9380.046948356785,8679.499217527593,1282.90297339593
TD01GL000329,5123.982785602523,4708.098591549345,745.1486697965572
TD01GL000330,8278.677621283354,7597.300469483726,1164.3192488262907
TD01GL000331,6827.934272300545,6313.928012519675,947.2613458528934
TD01GL000332,7103.677621283336,6591.392801252081,1000.0782472613437
TD01GL0RAST7,679.4209702660421,634.2723004694861,87.98904538341169
TD01GL000333,2660.8763693270685,2480.125195618158,387.5195618153369
TD01GL000334,2349.999999999998,2174.1001564945204,357.8638497652585
TD01GL000335,1679.2253521126713,1568.3489827856013,236.1111111111114
TD01GL000336,2535.2503912363036,2358.8028169014087,344.36619718309936
TD01GL000337,2450.3521126760525,2281.807511737089,343.1142410015654
TD01GL000338,8994.444444444456,8400.860719875016,1216.7840375586836
TD01GL000339,3592.879499217525,3361.9718309859336,479.18622848200454
TD01GL000340,831.4553990610335,749.5305164319266,127.66040688575904
TD01GL000341,10464.632237871565,9780.359937402443,1350.4303599374032
TD01GL000342,6235.602503912422,5815.805946791957,834.1158059467903
TD01GL000343,4887.871674491418,4480.046948356847,688.8106416275426
TD01GL000344,1527.5821596244111,1417.3317683881073,223.9827856025041
TD01GL000345,4367.292644757444,4055.8685446009686,570.3834115805955
TD01GL000346,7244.600938967209,6731.220657277126,1024.530516431923
TD01GL000347,12923.122065727324,12053.325508607559,1779.8122065727719
TD01GL000348,7936.932707355314,7408.528951486866,1097.6917057902963
TD01GL000349,7291.901408450765,6697.769953051771,1069.1314553990596
TD01GL000350,6338.771517996915,5891.275430360045,849.7261345852885
TD01GL000351,17629.186228481467,16352.973395931649,2458.2942097026666
TD01GL000352,2590.1799687010907,2407.70735524257,340.6103286384982
TD01GL000353,1757.0422535211228,1639.7496087636923,247.33959311424113
TD01GL000354,3704.3427230046955,3429.460093896733,529.3035993740226
TD01GL000355,10899.100156494362,10102.464788732657,1482.1205007824735
TD01GL000356,4973.35680751176,4603.873239436667,661.9718309859156
TD01GL000357,4056.4945226917057,3751.9561815336706,549.6087636932713
TD01GL000358,1946.3615023474122,1791.353677621279,246.7136150234744
TD01GL000359,2493.231611893581,2302.9342723004684,355.8294209702664
TD01GL000360,8199.374021909345,7632.707355242735,1113.6150234741772
TD01GL000361,13758.255086071526,12848.474178404127,1807.4334898278596
TD01GL000362,2255.2816901408382,2102.5430359937372,310.2503912363072
TD01GL000363,4970.657276995324,4615.962441314601,683.0985915492955
TD01GL000364,1456.846635367763,1351.525821596246,210.3286384976527
TD01GL000365,11697.456964006014,10870.696400626268,1579.694835680752
TD01GL000366,6323.1611893584295,5821.674491392891,895.8137715179964
TD01GL000367,6350.821596244183,5895.735524256752,819.9139280125187
TD01GL000368,2051.5258215962394,1901.3693270735496,287.55868544600975
TD01GL000369,4881.807511737106,4524.921752738699,665.3755868544599
TD01GL000370,4262.63693270736,3955.5946791862525,579.6557120500786
TD01GL000371,2803.2472613458494,2593.3881064162797,403.1298904538343
TD01GL000372,7452.738654147187,6915.414710485273,1105.1643192488257
TD01GL000373,969.2488262910816,886.1502347417867,146.12676056338037
TD01GL000374,877.6212832550872,782.0813771518018,141.47104851330218
TD01GL000375,7544.366197183182,7031.1424100157965,1037.6760563380265
TD01GL000376,15842.214397495422,14654.89045383456,2289.7887323943737
TD01GL000377,961.3849765258233,878.755868544603,161.85446009389682
TD01GL000378,4830.320813771535,4483.998435054814,702.1909233176833
TD01GL000379,2358.4115805946717,2215.6103286384973,337.48043818466385
TD01GL000380,6439.006259780966,5957.1596244132415,895.6572769953045
TD01GL000381,3951.0563380281683,3653.873239436641,548.2003129890461
TD01GL000382,2474.6087636932652,2302.6212832550846,351.3693270735526
TD01GL000383,3205.868544600939,2960.3286384976623,482.1987480438191
TD01GL000384,6422.809076682356,5952.699530516537,919.6791862284807
TD01GL000385,3218.54460093897,2935.3677621283346,470.30516431924957
TD01GL000386,4443.857589984357,4139.788732394399,566.5884194053218
TD01GL000387,3851.3302034428807,3597.7308294209897,534.0375586854468
TD01GL000388,5664.201877934322,5218.035993740287,777.0344287949919
TD01GL000389,6198.591549295819,5763.536776212928,849.6870109546152
TD01GL000390,6583.294209702731,6118.505477308403,911.0719874804366
TD01GL000391,750.7433489827874,696.5962441314588,110.36776212832561
TD01GL000392,1034.389671361505,967.175273865418,126.83881064162784
TD01GL000393,4548.356807511746,4224.178403755903,626.2128325508609
TD01GL000394,3118.5054773082948,2874.7652582159685,441.2754303599378
TD01GL000395,4191.588419405326,3900.665101721465,597.0657276995311
TD01GL000396,5550.899843505507,5162.55868544608,783.4898278560244
TD01GL000397,2664.788732394361,2477.4647887323977,393.42723004694875
TD01GL000398,2840.8841940532043,2631.5727699530557,422.92644757433493
TD01GL000399,2970.1095461658833,2749.4522691705824,413.4194053208147
TD01GL000400,2808.841940532078,2609.1549295774694,410.6807511737096
TD01GL000401,1632.6682316118913,1505.907668231612,261.267605633803
TD01GL000402,2197.730829420966,2033.1768388106375,332.98122065727745
TD01GL000403,4344.522691705805,3982.23787167451,644.52269170579
TD01GL000404,1310.4851330203435,1215.4929577464807,210.9154929577466
TD01GL000405,2316.1189358372403,2160.015649452266,332.19874804381874
TD01GL000406,6266.9014084507635,5814.162754303689,901.0563380281675
TD01GL000407,5166.275430359959,4817.68388106422,681.807511737089
TD01GL000408,712.8716744913943,663.7323943661996,94.4444444444445
TD01GL000409,6269.01408450709,5793.896713615116,910.4068857589972
TD01GL000410,5278.286384976558,4892.292644757489,761.8544600938966
TD01GL000411,2987.1674491392782,2773.1611893583777,439.12363067292705
TD01GL000412,11149.256651017018,10392.527386541755,1576.1345852895179
TD01GL000413,10945.852895148499,10146.870109546424,1533.2942097026603
TD01GL000414,7026.330203442947,6559.663536776341,912.9107981220645
TD01GL000415,4529.616588419417,4240.023474178435,594.8356807511734
TD01GL000416,4786.658841940553,4414.749608763729,706.7683881064158
TD01GL000417,8498.122065727772,7827.543035993905,1271.3223787167462
TD01GL000418,6429.029733959366,5958.372456964108,863.2237871674483
TD01GL000419,9258.059467918603,8579.107981220857,1289.593114241001
TD01GL000420,15238.96713614963,14182.942097027038,2114.9843505477334
