metacyc	kegg
CPD-13960	C06799
PARAOXON	C06606
P-NITROPHENOL	C00870
CPD-13931	C20226
N-NITROARGININE	C03417
N-BENZOYL-D-ARGININE-4-NITROANILIDE	C04303
CPD-13930	C20250
CPD-13920	C20146
DINITROPHENYLHYDRAZINE	C11283
DINITRO-4-HYDROXYPHENYLPYRUVATE	C04286
GLYCEROPHOSPHOGLYCEROL	C03274
CYTIDINE	C00475
DEOXYURIDINE	C00526
THYMIDINE	C00214
DEOXYCYTIDINE	C00881
CPD-12568	C09704
ALL-TRANS-PENTAPRENYL-DIPHOSPHATE	C04217
CPD-8843	C19746
CPD-14023	C09902
CPD-4887	C11393
CPD-10032	C11411
GERANYLGERANYL-PP	C00353
CPD-10029	C11399
CPD-10033	C11410
CPD-9134	C18315
CPD-10030	C11397
CPD-10026	C11413
CPD-13903	C06048
CPD-9650	C05847
CPD-10034	C11416
CPD-10031	C11400
CPD-8975	C14442
CPD-10027	C11396
CPD-8179	C02496
2-CIS6-TRANS-FARNESOL	C03220
2-TRANS6-TRANS-FARNESOL	C01126
CPD-9087	C09094
ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE	C04216
CPD-13867	C20184
CPD-8147	C05669
CPD-260	C11409
CPD-13866	C20182
OCTAPRENYL-DIPHOSPHATE	C04146
CPD-10050	C11395
CPD-103	C05613
CPD-7664	C07949
CPD-8996	C11388
CPD-7663	D03241
CPD-18956	C21713
CPD-8997	C11389
CPD-7980	C11386
CPD-12877	C09849
S-LACTOYL-GLUTATHIONE	C03451
CPD-701	C14394
CPD-2204	C04621
CPD-9610	C17432
CPD-13811	C15772
CPD-11913	C21054
BETA-D-FRUCTOSE	C02336
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE	C01230
CPD-13766	C07354
CPD-194	C03360
CPD-21379	C07141
L-1-GLYCERO-PHOSPHORYLCHOLINE	D07349
L-1-GLYCEROPHOSPHORYLETHANOL-AMINE	C01233
CPD-158	C02235
CPD-1541	C01818
CPD-13717	C05699
CPD-13713	C05686
CPD-143	c07455
CPD-15587	C21058
CPD-13933	C20228
CPD-13932	C20227
CPD-12776	C12491
CPD-13657	C20201
DGMP	C00362
CPD-3708	C06193
CPD-13656	C19934
CGMP	C00942
XDP	C01337
CPD-10547	C02803
DEOXYGUANOSINE	C00330
CPD-3705	C00946
CPD-13654	C19933
AMP	C00020
IMP	C00130
DAMP	C00360
CHLORAMPHENICOL-3-ACETATE	C03601
CPD-13647	C17744
BIS-P-NITROPHENOLPHOSPHATE	C03779
GTP	C00044
CPD-13646	C10494
4-NITROQUINOLINE-N-OXIDE	C03474
CPD0-2231	C01344
4-NITROPHENYL-3-KETOVALIDAMINE	C03995
CPD-13645	C17746
4-NITROANILINE	C02126
DITP	C01345
3-NITROTOLUENE	C19486
DGTP	C00286
3-NITROACRYLATE	C02231
CPD-3709	C06194
ALKYL-SN-GLYCERO-PHOSPHOETHANOLAMINE	C04476
CPD-13556	C00713
2-NITROTOLUENE	C19597
XTP	C00700
DEOXYINOSINE	C05512
1-CHLORO-24-DINITROBENZENE	C14397
CPD-3706	C01367
ATP	C00002
ITP	C00081
DATP	C00131
CPD-13517	C17349
CPD-20826	C04378
HYPOXANTHINE	C00262
CPD-1777	C00761
CPD-13504	C06177
TRANS-CINNAMOYL-BETA-D-GLUCOSE	C04164
GDP	C00035
CPD-8667	C19868
3-UREIDO-ISOBUTYRATE	C05100
CPD-18286	C21186
DIHYDRO-THYMINE	C00906
CPD-13486	C04468
CPD-8665	C17513
CPD-6562	C15768
DGDP	C00361
CPD-13485	C11422
CPD-1910	C03962
CPD-3707	C02353
CPD-15227	C20577
CPD-10139	C07271
CAMP	C00575
GIBBERELLIN-2-O-BETA-D-GLUCOSIDE	C04070
1-ALKYL-SN-GLYCEROL	C02773
XANTHOSINE-5-PHOSPHATE	C00655
CPD-8666	C08589
DEOXYADENOSINE	C00559
CPD-10053	C11405
ADP	C00008
CPD-13473	C04794
CPD-10063	C11419
IDP	C00104
CPD-13042	C01864
DADP	C00206
CPD-19626	C12296
GMP	C00144
CPD-524	C01405
DIMP	C06196
CPD-13386	C11056
CPD-12846	C19757
CPD-7075	C09755
CPD-6501	C15513
KDO	C01187
CPD-13385	C11054
CPD-13346	C12304
ETHYLACETATE	C00849
CPD-13351	C02160
SULOCHRIN	C00495
CPD-13339	C02501
CPD-14529	C12303
CPD-15291	C09731
CPD-10370	C15698
CPD-19532	C09241
CPD-6182	C04521
CPD-10371	C15697
CPD-6443	D01138
CPD-9367	C10526
Z-2-METHYL-5-ISOPROPYLHEXA-25-DIENAL	C04435
CPD-9366	C10540
XANTHURENATE	C02470
CPD-20497	C10018
XANTHOMMATIN	C01969
XANTHOAPHIN	C01863
XANTHINE-8-CARBOXYLATE	C03314
XANTHINE	C00385
WATER	C00001
VITEXIN-2-O-BETA-D-GLUCOSIDE	C04024
VITEXIN-2-O-B-L-RHAMNOSIDE	C12628
VIOLACEIN	C21136
CPD-13969	C11917
CPD-16994	C21139
VINORINE	C11807
VINDOLINE	C01626
VICIANOSE	C01625
CPD-9124	C06568
VERATRALDEHYDE	C02201
CPD-7418	C05838
DEACETOXYCEPHALOSPORIN-C	C06565
VELLOSIMINE	C11634
VANILLYL-ALCOHOL	C06317
VANILLIN	C00755
CPD-10797	C12621
SINAPATE	C00482
CPD-5861	C02781
UROCANATE	C00785
CPD0-2601	D08885
URATE-3-RIBONUCLEOSIDE	C05513
UDP-N-ACETYL-D-GALACTOSAMINE-4-SULFATE	C04426
CPD-13116	C07497
CPD-15281	C17759
UDP-N-ACETYL-2-AMINO-D-GLUCURONATE	C04573
P-COUMAROYL-COA	C00223
CPD-9125	C06569
UDP-L-ARA4-FORMYL-N	C16154
CPD-6622	C17749
CPD-7271	C07756
UDP-ACETYL-ETCETERA-BISSULFATE	C04589
CEPHALOSPORIN-C	C00916
7-5-CARBOXYL-5-OXOPENTANYL-AMINOCEPHAL	C04712
TRYPANOTHIONE-DISULFIDE	C03170
CONIFERYL-ALCOHOL	C00590
TROPINONE	C00783
FERULIC-ACID	C01494
TROPINE	C00729
CPD-6442	C12305
CPD0-2068	C06897
TROPATE	C01456
CPD-9229	C07761
TRIS	C07182
CPD-9228	C11754
TRINAPHTAL-CPD	C01173
5-HYDROXY-CONIFERALDEHYDE	C12204
TRIETHYLAMINE	C14691
CPD-7034	C08722
CPD-18120	C10945
TRICHLOROETHENE	C06790
2-COUMARATE	C01772
TRICHLOROANISOLE	C11510
CPD-8674	C16827
TRIACETATE	C01757
TRANS-CYCLOHEXANE-12-DIOL	C03739
CPD-13494	C10462
TRANS-23-DEHYDROADIPYL-COA	C14144
TRANS-12-DCE	C06791
THIOPHENE-2-CARBONYL-COA	C07347
CPD-15316	C12299
THIOMORPHOLINE-3-CARBOXYLATE	C03901
COUMARYL-ALCOHOL	C02646
THIOGLYCOLATE	C02086
THIAMINE-PYROPHOSPHATE	C00068
CONIFERYL-ALDEHYDE	C02666
THIAMINE-P	C01081
CPD-3745	C05123
CPD-6481	C10453
THIAMINE-ALDEHYDE	C05856
CPD-1863	C05837
THIABENDAZOLE	C07131
5-HYDROXY-FERULIC-ACID	C05619
CPD-3746	C11145
4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE	C08422
TETRAHYDROPALMATINE	C02890
TETRACHLOROETHENE	C06789
CPD-549	C03174
CPD-9930	C10428
CPD-20054	C17240
TESTOLOLACTONE	C04676
GLUCOTROPEOLIN	C02153
TESTOLATE	C01618
CPD-13495	C17748
TEREPHTHALATE	C06337
CPDQT-422	C08403
TAXUYUNNANIN-C	C15537
1-O-SINAPOYL-BETA-D-GLUCOSE	C01175
2-PROPENYL-GLUCOSINOLATE	C08427
TAXA-42011-DIEN-5A13A-DIOL	C11897
CPDQT-273	C08415
TAXA-42011-DIEN-5A-OL	C11895
CPD-674	C00423
TAXA-42011-DIEN-5-ALPHA-YL-ACETATE	C11896
TAUROCYAMINE	C01959
CPD-16550	C10433
CPDQT-281	C08409
TARTRONATE-S-ALD	C01146
CPD-21217	C11303
TARTRATE	C00898
SINAPALDEHYDE	C05610
CPDQT-286	C08401
TABERSONINE	C09244
S-METHYLGLUTATHIONE	C11347
CPD-12871	C20154
3-METHYLTHIOPROPYL-GLUCOSINOLATE	C08412
COUMARALDEHYDE	C05608
SUCCIMIDE	C07273
CPD-12848	C01748
ISOEUGENOL	C10469
SUCC-S-ALD	C00232
CPD-6602	C10443
STRICTOSIDINE-AGLYCONE	C03309
CPD-15006	C20470
CPDQT-343	C17246
STRICTOSIDINE	C03470
3-METHYLTHIOPROPANALDOXIME	C17241
STREPTIDINE-6-PHOSPHATE	C01121
CPDQT-350	C17251
CPD-14310	C20276
STIPIT-CPD	C01853
CPD-12838	C11848
CPD-14703	C10458
CPDQT-262	C17253
STEROID-O-SULFATE	C02590
1-KESTOTRIOSE	C03661
CPD-9933	C20464
CPDQT-405	C17249
STERIGMATOCYSTIN	C00961
CPDQT-341	C17245
SS-DIMETHYL-BETA-PROPIOTHETIN	C04022
CPD-12836	C20643
2-3-DIHYDROXYPHENYL-PROPIONATE	C04044
CPD-4861	C20315
SN-GERANYLGERANYLGLYCERYL-1-PHOSPHATE	C04590
2-METHYLPROPANAL-OXIME	C03219
SKATOLE	C08313
GERANIAL	C01499
CPD-9978	C17622
SINAPOYLTARTRONATE	C02750
CPD-1282	C04832
SINAPOYL-S-MALATE	C02887
CPD-9981	C11636
SHIKIMATE-5P	C03175
CPD-1281	C04628
CPD-8991	C19750
SHIKIMATE	C00493
CPD-14666	C09918
CPD-13108	C06690
SEPO3	C05172
CPD-12806	C18693
HYDROQUINONE-O-BETA-D-GLUCOPYRANOSIDE	C06186
CPD-13837	C06630
CPD-12797	C10787
SECOLOGANIN-CPD	C01852
CPD-13951	C06616
SECOLOGANATE	C01957
CPDN-384	C06204
SCOPOLIN	C01527
SCOPOLAMINE	C01851
SANGUINARINE	C06162
CPD-1244	C05737
SALUTARIDINOL	C05220
CPD-12763	C12455
SALUTARIDINE	C05179
SALICYLAMIDE	D01811
CPD-12762	C19729
S-TETRAHYDROCOLUMBAMINE	C04118
CPD-649	C01120
CPD3DJ-11366	C06124
S-TETRAHYDROBERBERINE	C03329
S-STYLOPINE	C05175
S-SCOULERINE	C02106
CPD-12733	C08247
S-RETICULINE	C02105
CPD-8891	C02912
PROPANE-1-2-DIOL	C02917
S-NORLAUDANOSOLINE	C02916
S-NORCOCLAURINE	C06160
CPD-12004	C20657
CPD-346	C03046
S-N-METHYLCOCLAURINE	C05176
S-METHYLTHIOGLYCOLATE	C03173
BUTANEDIOL	C03044
CPD-12825	C16884
S-METHYL-3-PHOSPHO-1-THIO-D-GLYCERATE	C04399
S-METHYL-1-THIO-D-GLYCERATE	C03804
CPD-9977	C20222
S-HYDROXYMETHYLMYCOTHIOL	C18235
CPD-21056	C16789
S-COCLAURINE	C06161
CPD-1905	C00553
CPD-14540	C11121
S-CHEILANTHIFOLINE	C05174
CPD-12651	C04783
S-ADENOSYLMETHIONINAMINE	C01137
CPD-685	C02344
S-ACETYLPHOSPHOPANTETHEINE	C03725
S-ACETYLDIHYDROLIPOAMIDE	C01136
CPD-263	C01123
S-781314-TETRAHYDROPROTOBERBERINE	C05204
S-5-HYDROXY-2-FUROYL-COA	C03724
GERANIOL	C01500
CPD-1908	C01411
S-2-INDOL-3-YLACETYL-COA	C15489
DIHYDROXYACETONE	C00184
S-2-HYDROXYSTEARATE	C03045
CPD-9762	C09847
DTDP-DEOH-DEOXY-GLUCOSE	C11907
D-XYLONATE	C00502
S-1-PHENYLETHANOL	C11348
CPD-12603	C03149
CPD-7857	C17621
CPD-658	C01219
CPD-9446	C16538
CPD-12602	C03624
CPD-663	C04089
RISEDRONATE	C08233
--MENTHOL	C00400
RIFAMYCIN-O	C01849
RIBOSE-TRIPHOSPHATE	C02884
CPD-9976	C20223
RIBOSE-15-BISPHOSPHATE	C01151
CPD-1903	C01765
CPD-7978	C09871
RAUCAFFRICINE	C02074
CPD-13381	C11922
R-RETICULINE	C05178
R-NORCOCLAURINE	C06347
R-N-METHYLCOCLAURINE	C05243
R-MANDELAMIDE	C07301
R-COCLAURINE	C06349
R-CANADINE	C11818
CPD-13323	C21138
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	C04352
R-1-AMINOPROPAN-2-YL-PHOSPHATE	C04122
ACROLEIN	C01471
QUINOLINE-4-CARBOXYLATE	C06414
METHYL-GLYOXAL	C00546
QUINOLINE	C06413
CPD-11441	C19756
TRANS-2-HEXENAL	C08497
CPD-12563	C04864
CPD-358	C00937
LACTALD	C00424
QUINOLIN-4-OL	C06343
PHENYLACETALDEHYDE	C00601
QUINOLIN-34-DIOL	C06330
BENZALDEHYDE	C00261
CPD-13860	C20172
QUINOLIN-28-DIOL	C06342
CPD-12510	C11374
GAP	C00118
CPD-8773	C06758
QUINOLIN-21H-ONE	C06415
CPD-10158	C16286
CPD-7614	C14090
CPD-20135	C21690
QUINOLIN-2-OL	C06338
L-XYLULOSE-5-P	C03291
QUININE	C06526
CPD-10159	C16143
XYLULOSE-5-PHOSPHATE	C00231
CPD-8837	C09693
QUINATE	C00296
DEOXYXYLULOSE-5P	C11437
CINNAMALDEHYDE	C00903
QUINALDATE	C06325
CPD-8774	C07209
QUESTIN	C01448
CPD-7616	C16700
QUERCITRIN	C01750
CPD-20109	C21687
QUERCETIN-34-BISSULFATE	C01156
QUERCETIN-337-TRISSULFATE	C03897
CPD-1003	c06577
QUERCETIN-33-BISSULFATE	C01155
CPD-125	C01056
HYDRPHENYLAC-CPD	C03765
PYRROLINE-HYDROXY-CARBOXYLATE	C04281
3-OH-BENZALDEHYDE	C03067
PYRROLE-2-CARBOXYLATE	C05942
PYROGALLOL	C01108
CPD-12484	C16364
QUINOLINATE	C03722
CPD-83	C03582
PYRAZOLE	C00481
CPD-12483	C16356
PSEUDOURIDINE-5-P	C01168
CPD-108	C01468
CPD-13773	C20782
PSEUDOTROPINE	C02066
CPD-109	C01542
CPD-112	C01467
PSEUDOCUMENE	C14533
CPD-12481	C16355
PROTOPINE	C05189
THYMINE	C00178
PROTOAPHIN-AGLUCONE	C02879
CPD-12480	C16361
CPD-531	C02888
CPD-12102	C20778
PROPIONYL-P	C02876
CPD-12479	C07130
CPD0-1349	C06105
CPD0-1327	C07649
CPD-9250	C20713
PROCLAVAMINATE	C06658
MAL	C00149
CPD-8133	C19275
PREPHENATE	C00254
CPD-12450	C17644
PRENOL	C01390
CPD-12077	C01837
PREGNAN-21-OL	C00892
CPD-12425	C19681
PREGNAN-21-AL	C00891
CPD-660	C00497
PREGNA-4911-DIENE-320-DIONE	C04084
PORPHOBILINOGEN	C00931
CPD-244	C02116
CPD1F-2	C11512
POLYNEURIDINE-ALDEHYDE	C11632
PICOLINATE	C10164
4-AMINO-BUTYRALDEHYDE	C00555
PHTHALATE	C01606
CPD-734	C08491
PHOSPHORYL-ETHANOLAMINE	C00346
PHOSPHORYL-CHOLINE	C00588
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	C04751
CPD-731	C16317
PHOSPHORAMIDATE	C02306
TYRAMINE	C00483
PHORBOL-13-BUTANOATE	C03019
PHENYLETHYLAMINE	C05332
PHORBOL-1213-DIBUTANOATE	C03634
CPD-8879	C15499
CPD-124	C15987
PHLORETATE	C01744
PHENYLETHANOLAMINE	C02735
PHENOLIC-STEROID	C02453
PHENOL-PHOSPHATE	C02734
CPD-12335	C07838
PHENANTHRENE-34-DIOL	C03164
PHASEOLLIDIN-HYDRATE	C05229
CPD-7070	C15503
PENTAN-2-ONE	C01949
CPD-265	C01028
PENTAHYDROXYCYCLOHEXANONE	C01295
CPD-12328	C17236
PENTACHLOROETHANE	C19496
CPD-6971	C14162
PARA-MENTHANE-38-DIOL	C02904
CPD-482	C11865
PAPS	C00053
CPD-267	C03004
PANTOYL-LACTONE	C01012
CHALCONE-CMPD	C01484
PANTOTHENOL	D03726
CPD-632	C11869
PANTOTHENATE	C00864
CPD-251	C11855
CPD-123	C03056
PANTETHEINE-P	C01134
CPD-10332	C06095
CPD-214	C03710
PAMIDRONATE	C07395
CPD1F-139	C00859
PALMITOYLGLYCERONE-PHOSPHATE	C01192
BUTANAL	C01412
ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA	C02198
PALMITALDEHYDE	C00517
CPD-204	C03579
S-PRENYL-L-CYSTEINE	C06751
FORMALDEHYDE	C00067
CPD-12278	C18232
PALMATINE	C05315
CPD1F-134	C11863
CPD-7620	C14390
CPD-9175	C06809
CPD-371	C01545
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	C04823
ACETYL-GLU	C00624
L-THREO-3-METHYL-ASPARTATE	C03618
P-BENZOQUINONE	C00472
CPD-665	C00479
ACETALD	C00084
OXOMALONATE	C00830
GIBBERELLIN	C01699
OXIDIZED-DITHIOTHREITOL	C01119
CPD-6974	C14161
CPD-8707	C11886
OXAMATE	C01444
CPD-498	C11854
CPD-15222	C21078
OXALO-SUCCINATE	C05379
CPD-8685	C16323
OXALO-GLUTARATE	C05533
CPD1F-95	C11857
CPD-11764	C06181
CPD-638	C12308
ORSELDEP-CPD	C02868
OROTIDINE-5-PHOSPHATE	C01103
CPD-392	C16831
OLEANDOMYCIN-2-O-PHOSPHATE	C03796
CPD-12331	C20632
RETINAL	C00376
OH-PYR	C00168
CPD1F-140	C02035
CPD-6227	C11853
O-SUCCINYLBENZOATE	C02730
O-SINAPOYLGLUCARATE	C02866
CPD-229	C11870
CPD-10793	C16849
O-SINAPOYLCHOLINE	C00933
CPD1F-137	C11864
O-PHENANTHROLINE	C00604
CPD-6224	C11868
CPD-15217	C11871
CPD-480	C03872
2-TRANS6-TRANS-FARNESAL	C03461
O-DEMETHYLPUROMYCIN	C02864
CPD-8711	C11885
CPD-15790	D03470
O-14-ALPHA-L-DIHYDROSTREPTOSYL-STREPTID	C04767
Ergothioneine	C05570
CPD-8686	C16322
CPD-6975	C11867
NORSPERMIDINE	C03375
NONANE-46-DIONE	C02445
CPD-6201	C11862
NN-DIMETHYLANILINE-N-OXIDE	C01183
NN-DIMETHYLANILINE	C02846
CPD1F-96	C02034
CPD-7557	C20308
CPD-695	C06094
NITRAPYRIN	C18751
CPD-122	C01984
NICOTINATE_NUCLEOTIDE	C01185
CHLORALAN-CPD	C02635
NAPHTHOL	C11714
CPD-6228	C11858
NAPHTHALENE-12-DIOL	C03012
CPD-9154	C14456
CIS-3-HEXENAL	C16310
NALPHA-GAMMA-L-GLUTAMYLHISTAMINE	C04138
CPD-236	C06096
N6-ACETYLKANAMYCIN-B	C03154
CPD1F-138	C06093
CPD-12184	C17740
N3-OXALYL-L-23-DIAMINOPROPANOATE	C04209
CPD-8693	C11887
CPD-5721	C07648
CPD-15218	C11856
N2ACETYL-ALPHA-NP	C12987
CPD-14650	C20694
N2-SUCCINYLORNITHINE	C03415
CPD1F-120	C11861
CPD-614	C02661
N2-SUCCINYLGLUTAMATE	C05931
CPD-279	C03585
CPD-13370	C20697
CPD-12165	C10535
N2-ACETYLGENTAMICIN-C1A	C03524
CPD-7558	C20325
N2-ACETYL-ALPHA-AMIN	C12986
CPD-12708	C15488
N-SUCCINYLLL-2-6-DIAMINOPIMELATE	C04421
CPD-6202	C11859
CPD-20017	C19130
GLYCOLALDEHYDE	C00266
N-SUCCINYL-2-AMINO-6-KETOPIMELATE	C04462
TAXA-411-DIENE	C11894
PHYTYL-PYROPHOSPHATE	C05427
CPD-10687	C18170
ENT-COPALYL-DIPHOSPHATE	C06089
N-PHOSPHOGUANIDINOETHYL-METHYL-PHOSPHAT	C04503
CPD1F-136	C11875
N-METHYLPHENYLETHANOLAMINE	C03711
CPD1F-132	C11874
CPD1F-128	C06090
N-METHYLHYDANTOIN	C02565
N-METHYLANTHRANILOYL-COA	C12092
CPD-9919	C19810
N-METHYLANILINE	C02299
CPD-9907	C18224
CPD-18107	C19364
N-METHYL-RS-TETRAHYDROBENZYLISOQUINOL	C05314
CPD-18106	C14407
CPD-8848	C20681
N-METHYL-HISTAMINE	C05127
CPD-8721	C21425
CPD-121	C01983
N-ISOPROPYLAMMELIDE	C06553
CPD-8719	C11902
CPD-8701	C09699
N-HYDROXYMETHYLUREA	C06384
N-HYDROXYL-TRYPTAMINE	C17203
CPD-8699	C18211
N-HYDROXY-4-AMINOBIPHENYL	C03622
CPD-8697	C11881
CPD-10205	C20718
CPD-12064	C11351
N-HYDROXY-4-ACETYLAMINONBIPHENYL	C04081
CPD-8696	C11880
CPD-8695	C11879
N-HYDROXY-2-ACETAMIDOFLUORENE	C03954
N-FORMYLKYNURENINE	C02700
CPD-7097	C18228
N-FORMYLANTHRANILATE	C05653
CPD-7092	C18015
CPD-13246	C21104
CPD-684	C01414
CPD-4754	C18225
N-FERULOYLGLYCINE	C02564
N-ETHYLMALEIMIDE	C02441
CPD-4753	C11877
CPD-10898	C07102
N-EE-PIPEROYL-PIPERIDINE	C03882
CPD-4752	C18223
CPD-12020	C05660
N-DESULFOHEPARIN	C02440
CPD-4751	C18226
CPD-4750	C11901
N-CYCLOHEXYLFORMAMIDE	C11519
CPD-12018	C05659
N-BUTYLATE	C14323
N-BENZOYL-D-ARGININE	C03001
CPD-20730	C21765
N-BENZOYL-4-METHOXYANTHRANILATE	C04208
N-BENZOYL-4-HYDROXYANTHRANILATE	C04207
CPD-20588	C11893
N-ACETYLPHENYLETHYLAMINE	C06746
3-METHYLTHIOPROPYLHYDROXAMIC-ACID	C17243
N-ACETYLISATIN	C02172
CPD-20450	C21729
N-ACETYLINDOXYL	C02298
CPD-20449	C21728
CPD-12014	C05643
N-ACETYLARYLAMINE	C07565
CPD-20446	C21726
N-ACETYLANTHRANILATE	C06332
PHENYLACETOTHIOHYDROXIMATE	C03719
PHENYLACETALDOXIME	C16075
N-ACETYL-L-LYSINE	C12989
INDOLE-3-ACETALDOXIME	C02937
N-ACETYL-L-24-DIAMINOBUTANOATE	C06442
CPD-2205	C04350
N-ACETYL-GLUTAMYL-P	C04133
CPD-1862	C16517
N-ACETYL-D-GALACTOSAMINE-6-PHOSPHATE	C06376
CPD-20432	C21800
CPD-1861	C16516
N-ACETYL-BETA-GLUCOSAMINYLAMINE	C01239
CPD-13031	C19714
CPD-12005	C02535
CPD-20413	C21829
CPD-10637	C12835
N-ACETYL-AAA-SEMIALDEHYDE	C12988
CPD-20325	C21826
CPD-10635	C12833
CPD-10274	C20312
N-ACETYL-5-METHOXY-TRYPTAMINE	C01598
CPD-20324	C21828
CPD-10273	C19491
N-ACETOXY-4-AMINOBIPHENYL	C03621
CPD-20321	C21825
BENZYL-DESULFOGLUCOSINOLATE	C01069
N-6-AMINOHEXANOYL-6-AMINOHEXANOATE	C01255
CPD-20271	C21830
N-5S-5-AMINO-5-CARBOXYPENTANOYL-L-CY	C05556
CPD-20270	C21824
CHLOROACETIC-ACID	C06755
N-5-PHOSPHORIBOSYL-ANTHRANILATE	C04302
CPD-20269	C21823
25-DICHLOROHYDROQUINONE	C06600
N-34-DICHLOROPHENYLMALONATE	C04205
CPD-20267	C21822
